Region,Latitude,Longitude,AgeRange,UserId,Label,Total_Quantity,Total_Value,Total_churn_period,StDev_Quantity,StDev_Value,StDev_churn_period,AvgTimeDelta,Recency,Unique_TransactionId,Unique_ItemId,Unique_churn_period,Total_Quantity_per_Unique_TransactionId,Total_Quantity_per_Unique_ItemId,Total_Quantity_per_Unique_churn_period,Total_Value_per_Unique_TransactionId,Total_Value_per_Unique_ItemId,Total_Value_per_Unique_churn_period,Total_churn_period_per_Unique_TransactionId,Total_churn_period_per_Unique_ItemId,Total_churn_period_per_Unique_churn_period
Pacific,45.192361,-119.326172,21-25,1654011,Nonchurner,4,244,63,0.577350269189626,101.436351143628,0,0,76,3,3,1,1,1,2,61,61,122,15.75,15.75,31.5
Pacific,45.192361,-119.326172,21-25,1762228,Churner,20,999,315,1.04653623694457,47.6891721762618,0,1.66666666666667,59,15,15,1,1.25,1.25,10,62.4375,62.4375,499.5,19.6875,19.6875,157.5
Pacific,45.192361,-119.326172,21-25,1655230,Churner,16,1939,231,0.934198732993828,244.914716139758,0,0,8,11,10,1,1.33333333333333,1.45454545454545,8,161.583333333333,176.272727272727,969.5,19.25,21,115.5
Pacific,45.192361,-119.326172,21-25,2158853,Nonchurner,16,2094,189,1.64147630029935,152.25800471568,0,0.333333333333333,80,9,7,1,1.6,2,8,209.4,261.75,1047,18.9,23.625,94.5
Pacific,45.192361,-119.326172,21-25,1869477,Churner,13,1923,126,0.752772652709081,275.160862042551,0,0,59,6,5,1,1.85714285714286,2.16666666666667,6.5,274.714285714286,320.5,961.5,18,21,63
Pacific,45.192361,-119.326172,21-25,2168906,Nonchurner,1,129,21,0,0,0,0,37,1,1,1,0.5,0.5,0.5,64.5,64.5,64.5,10.5,10.5,10.5
Pacific,45.192361,-119.326172,21-25,2082127,Churner,6,279,126,0,34.9499642346026,0,0,54,6,5,1,0.857142857142857,1,3,39.8571428571429,46.5,139.5,18,21,63
Pacific,45.192361,-119.326172,21-25,1888157,Churner,8,84,42,2.82842712474619,33.9411254969543,0,7,59,2,2,1,2.66666666666667,2.66666666666667,4,28,28,42,14,14,21
Pacific,45.192361,-119.326172,21-25,2156101,Churner,12,1517,147,1.88982236504614,282.882021512923,0,0,94,7,7,1,1.5,1.5,6,189.625,189.625,758.5,18.375,18.375,73.5
Pacific,45.192361,-119.326172,21-25,1533866,Churner,16,971,210,0.516397779494322,31.4587913873937,0,2.1,36,10,7,1,1.45454545454545,2,8,88.2727272727273,121.375,485.5,19.0909090909091,26.25,105
Pacific,45.192361,-119.326172,21-25,1856026,Churner,2,2415,42,0,1672.30753750618,0,0,56,2,2,1,0.666666666666667,0.666666666666667,1,805,805,1207.5,14,14,21
Pacific,45.192361,-119.326172,21-25,1575354,Churner,24,2096,420,0.410391340834062,124.091901427934,0,1.65,55,20,12,1,1.14285714285714,1.84615384615385,12,99.8095238095238,161.230769230769,1048,20,32.3076923076923,210
Pacific,45.192361,-119.326172,26-30,1559637,Churner,29,3997,147,7.88307409218365,1292.66636582427,0,0,82,7,6,1,3.625,4.14285714285714,14.5,499.625,571,1998.5,18.375,21,73.5
Pacific,45.192361,-119.326172,26-30,1878790,Churner,43,5688,630,1.00630198159445,319.748349325765,0,0,20,30,23,1,1.38709677419355,1.79166666666667,21.5,183.483870967742,237,2844,20.3225806451613,26.25,315
Pacific,45.192361,-119.326172,26-30,2062259,Churner,24,2474,252,1.95401684183679,229.982542156942,0,0,89,12,10,1,1.84615384615385,2.18181818181818,12,190.307692307692,224.909090909091,1237,19.3846153846154,22.9090909090909,126
Pacific,45.192361,-119.326172,26-30,1673739,Nonchurner,70,5372,1218,0.832637337908365,60.5315134936491,0,1.24137931034483,15,58,33,1,1.1864406779661,2.05882352941176,35,91.0508474576271,158,2686,20.6440677966102,35.8235294117647,609
Pacific,45.192361,-119.326172,26-30,1597653,Churner,11,1276,210,0.316227766016838,183.106647734167,0,0,25,10,9,1,1,1.1,5.5,116,127.6,638,19.0909090909091,21,105
Pacific,45.192361,-119.326172,26-30,2012544,Nonchurner,15,1028,231,0.674199862463242,50.0746715143767,0,7.18181818181818,7,11,9,1,1.25,1.5,7.5,85.6666666666667,102.8,514,19.25,23.1,115.5
Pacific,45.192361,-119.326172,26-30,184656,Churner,2,308,42,0,49.4974746830583,0,0,22,2,2,1,0.666666666666667,0.666666666666667,1,102.666666666667,102.666666666667,154,14,14,21
Pacific,45.192361,-119.326172,26-30,1673944,Churner,17,1615,294,0.578934223521839,140.191411534844,0,0,55,14,12,1,1.13333333333333,1.30769230769231,8.5,107.666666666667,124.230769230769,807.5,19.6,22.6153846153846,147
Pacific,45.192361,-119.326172,26-30,1877236,Churner,5,1933,63,0.577350269189626,322.617937091745,0,0,96,3,3,1,1.25,1.25,2.5,483.25,483.25,966.5,15.75,15.75,31.5
Pacific,45.192361,-119.326172,26-30,1293937,Nonchurner,37,5971,504,1.17876747224514,321.989329983446,0,1.375,36,24,23,1,1.48,1.54166666666667,18.5,238.84,248.791666666667,2985.5,20.16,21,252
Pacific,45.192361,-119.326172,26-30,1813340,Nonchurner,74,5000,1239,0.575152763484835,106.898532814734,0,0.559322033898305,18,59,39,1,1.23333333333333,1.85,37,83.3333333333333,125,2500,20.65,30.975,619.5
Pacific,45.192361,-119.326172,26-30,2029672,Nonchurner,48,10093,651,0.888395920650223,410.590126053834,0,1.7741935483871,25,31,24,1,1.5,1.92,24,315.40625,403.72,5046.5,20.34375,26.04,325.5
Pacific,45.192361,-119.326172,26-30,170291,Churner,9,5736,189,0,569.577913897651,0,0,21,9,8,1,0.9,1,4.5,573.6,637.333333333333,2868,18.9,21,94.5
Pacific,45.192361,-119.326172,26-30,2157061,Nonchurner,6,1038,84,1,325.568733142481,0,0,52,4,3,1,1.2,1.5,3,207.6,259.5,519,16.8,21,42
Pacific,45.192361,-119.326172,26-30,2138329,Churner,22,1097,378,0.427792631946499,57.3672095541185,0,0.111111111111111,93,18,16,1,1.15789473684211,1.29411764705882,11,57.7368421052632,64.5294117647059,548.5,19.8947368421053,22.2352941176471,189
Pacific,45.192361,-119.326172,26-30,1039993,Churner,13,1432,252,0.288675134594813,56.5867529202781,0,0,24,12,10,1,1,1.18181818181818,6.5,110.153846153846,130.181818181818,716,19.3846153846154,22.9090909090909,126
Pacific,45.192361,-119.326172,26-30,1996937,Churner,10,899,210,0,86.3885923539033,0,0,25,10,10,1,0.909090909090909,0.909090909090909,5,81.7272727272727,81.7272727272727,449.5,19.0909090909091,19.0909090909091,105
Pacific,45.192361,-119.326172,26-30,1648478,Churner,8,707,147,0.377964473009227,121.500342935044,0,0,38,7,6,1,1,1.14285714285714,4,88.375,101,353.5,18.375,21,73.5
Pacific,45.192361,-119.326172,26-30,2162157,Nonchurner,15,1063,315,0,49.2034648412178,0,0.866666666666667,27,15,14,1,0.9375,1,7.5,66.4375,70.8666666666667,531.5,19.6875,21,157.5
Pacific,45.192361,-119.326172,26-30,1598155,Churner,68,5359,525,4.80034720966446,268.720561178336,0,0.56,8,25,22,1,2.61538461538462,2.95652173913043,34,206.115384615385,233,2679.5,20.1923076923077,22.8260869565217,262.5
Pacific,45.192361,-119.326172,26-30,2050553,Nonchurner,24,2466,399,0.452413928358864,130.746395296547,0,3.63157894736842,26,19,14,1,1.2,1.6,12,123.3,164.4,1233,19.95,26.6,199.5
Pacific,45.192361,-119.326172,26-30,1543438,Churner,18,2196,357,0.242535625036333,86.9333331453747,0,3.35294117647059,1,17,15,1,1,1.125,9,122,137.25,1098,19.8333333333333,22.3125,178.5
Pacific,45.192361,-119.326172,26-30,1852707,Churner,38,1388,168,7.95972002379122,163.471273142584,0,0,63,8,8,1,4.22222222222222,4.22222222222222,19,154.222222222222,154.222222222222,694,18.6666666666667,18.6666666666667,84
Pacific,45.192361,-119.326172,26-30,1466928,Churner,14,1307,252,0.389249472080761,60.7774753930394,0,0,59,12,11,1,1.07692307692308,1.16666666666667,7,100.538461538462,108.916666666667,653.5,19.3846153846154,21,126
Pacific,45.192361,-119.326172,26-30,2025612,Nonchurner,33,5784,504,0.710939366337732,206.263866464041,0,0.791666666666667,8,24,14,1,1.32,2.2,16.5,231.36,385.6,2892,20.16,33.6,252
Pacific,45.192361,-119.326172,26-30,1470031,Churner,5,479,84,0.5,57.3665117177841,0,0,84,4,4,1,1,1,2.5,95.8,95.8,239.5,16.8,16.8,42
Pacific,45.192361,-119.326172,26-30,1530599,Nonchurner,39,3187,525,2.02237484161567,191.67792430707,0,0,16,25,17,1,1.5,2.16666666666667,19.5,122.576923076923,177.055555555556,1593.5,20.1923076923077,29.1666666666667,262.5
Pacific,45.192361,-119.326172,26-30,1586688,Churner,22,2285,315,1.12546286774228,78.8539940710195,0,0,38,15,13,1,1.375,1.57142857142857,11,142.8125,163.214285714286,1142.5,19.6875,22.5,157.5
Pacific,45.192361,-119.326172,26-30,2156774,Nonchurner,7,1221,105,0.894427190999916,115.39150748647,0,0.4,89,5,4,1,1.16666666666667,1.4,3.5,203.5,244.2,610.5,17.5,21,52.5
Pacific,45.192361,-119.326172,26-30,2130804,Churner,6,439,63,1,158.60748195887,0,1.66666666666667,87,3,3,1,1.5,1.5,3,109.75,109.75,219.5,15.75,15.75,31.5
Pacific,45.192361,-119.326172,26-30,1788549,Churner,8,736,168,0,32.6233921333407,0,0,66,8,8,1,0.888888888888889,0.888888888888889,4,81.7777777777778,81.7777777777778,368,18.6666666666667,18.6666666666667,84
Pacific,45.192361,-119.326172,26-30,2155364,Churner,6,516,126,0,39.5727178748188,0,0,97,6,6,1,0.857142857142857,0.857142857142857,3,73.7142857142857,73.7142857142857,258,18,18,63
Pacific,45.192361,-119.326172,26-30,34258,Churner,50,3527,945,0.382706998191366,71.4312412199468,0,1.71111111111111,4,45,35,1,1.08695652173913,1.38888888888889,25,76.6739130434783,97.9722222222222,1763.5,20.5434782608696,26.25,472.5
Pacific,45.192361,-119.326172,26-30,1771381,Churner,20,3929,336,0.447213595499958,379.000434256567,0,4.25,20,16,14,1,1.17647058823529,1.33333333333333,10,231.117647058824,261.933333333333,1964.5,19.7647058823529,22.4,168
Pacific,45.192361,-119.326172,26-30,1587005,Churner,32,3858,567,0.622466374565235,282.871584527915,0,0,68,27,21,1,1.14285714285714,1.45454545454545,16,137.785714285714,175.363636363636,1929,20.25,25.7727272727273,283.5
Pacific,45.192361,-119.326172,26-30,1237634,Churner,19,2139,357,0.332105582077536,92.5886300350356,0,0.0588235294117647,52,17,16,1,1.05555555555556,1.11764705882353,9.5,118.833333333333,125.823529411765,1069.5,19.8333333333333,21,178.5
Pacific,45.192361,-119.326172,26-30,2007854,Churner,26,1651,483,0.45769658728016,44.8045822755371,0,0,16,23,21,1,1.08333333333333,1.18181818181818,13,68.7916666666667,75.0454545454545,825.5,20.125,21.9545454545455,241.5
Pacific,45.192361,-119.326172,26-30,1773620,Nonchurner,26,2090,441,0.436435780471985,86.8225886780733,0,2.04761904761905,20,21,18,1,1.18181818181818,1.36842105263158,13,95,110,1045,20.0454545454545,23.2105263157895,220.5
Pacific,45.192361,-119.326172,26-30,1806809,Churner,33,2596,483,0.589767824619589,88.0786344683112,0,2.43478260869565,4,23,18,1,1.375,1.73684210526316,16.5,108.166666666667,136.631578947368,1298,20.125,25.4210526315789,241.5
Pacific,45.192361,-119.326172,26-30,720410,Nonchurner,2,98,21,0,0,0,0,33,1,1,1,1,1,1,49,49,49,10.5,10.5,10.5
Pacific,45.192361,-119.326172,26-30,1476866,Churner,68,2737,1092,0.75507333856145,34.2390837598192,0,1.63461538461538,3,52,31,1,1.28301886792453,2.125,34,51.6415094339623,85.53125,1368.5,20.6037735849057,34.125,546
Pacific,45.192361,-119.326172,26-30,1668469,Churner,4,414,84,0,14.456832294801,0,0,4,4,3,1,0.8,1,2,82.8,103.5,207,16.8,21,42
Pacific,45.192361,-119.326172,31-35,1835465,Churner,12,1657,252,0,124.725486448027,0,0,75,12,11,1,0.923076923076923,1,6,127.461538461538,138.083333333333,828.5,19.3846153846154,21,126
Pacific,45.192361,-119.326172,31-35,1795578,Nonchurner,1,57,21,0,0,0,0,52,1,1,1,0.5,0.5,0.5,28.5,28.5,28.5,10.5,10.5,10.5
Pacific,45.192361,-119.326172,31-35,1373592,Churner,13,575,210,0.483045891539648,38.038722960221,0,5.2,9,10,6,1,1.18181818181818,1.85714285714286,6.5,52.2727272727273,82.1428571428571,287.5,19.0909090909091,30,105
Pacific,45.192361,-119.326172,31-35,1850666,Churner,53,6116,882,0.766987258123049,156.903878044529,0,0.5,3,42,35,1,1.23255813953488,1.47222222222222,26.5,142.232558139535,169.888888888889,3058,20.5116279069767,24.5,441
Pacific,45.192361,-119.326172,31-35,1692853,Churner,12,800,189,0.5,46.4150957244635,0,0,79,9,6,1,1.2,1.71428571428571,6,80,114.285714285714,400,18.9,27,94.5
Pacific,45.192361,-119.326172,31-35,1784145,Churner,15,1894,315,0,95.3920232264632,0,0,59,15,11,1,0.9375,1.25,7.5,118.375,157.833333333333,947,19.6875,26.25,157.5
Pacific,45.192361,-119.326172,31-35,1593129,Churner,1,95,21,0,0,0,0,4,1,1,1,0.5,0.5,0.5,47.5,47.5,47.5,10.5,10.5,10.5
Pacific,45.192361,-119.326172,31-35,1709933,Churner,32,3253,546,0.514407799916938,118.036376400863,0,2.46153846153846,24,26,16,1,1.18518518518519,1.88235294117647,16,120.481481481481,191.352941176471,1626.5,20.2222222222222,32.1176470588235,273
Pacific,45.192361,-119.326172,31-35,1739312,Churner,36,2612,672,0.336010752516124,69.2460549708953,0,1.9375,11,32,24,1,1.09090909090909,1.44,18,79.1515151515152,104.48,1306,20.3636363636364,26.88,336
Pacific,45.192361,-119.326172,31-35,2122366,Churner,7,289,126,0.408248290463863,16.4367474479188,0,0,3,6,5,1,1,1.16666666666667,3.5,41.2857142857143,48.1666666666667,144.5,18,21,63
Pacific,45.192361,-119.326172,31-35,2166780,Churner,6,547,126,0,65.6061480858819,0,0,3,6,6,1,0.857142857142857,0.857142857142857,3,78.1428571428571,78.1428571428571,273.5,18,18,63
Pacific,45.192361,-119.326172,31-35,1702620,Churner,37,1608,567,0.564879030490882,37.3582792114549,0,3.37037037037037,2,27,19,1,1.32142857142857,1.85,18.5,57.4285714285714,80.4,804,20.25,28.35,283.5
Pacific,45.192361,-119.326172,31-35,1474060,Churner,2,756,21,0,0,0,0,38,1,1,1,1,1,1,378,378,378,10.5,10.5,10.5
Pacific,45.192361,-119.326172,31-35,392327,Churner,4,103,63,0.577350269189626,11.2398102000582,0,0,22,3,2,1,1,1.33333333333333,2,25.75,34.3333333333333,51.5,15.75,21,31.5
Pacific,45.192361,-119.326172,31-35,1342482,Nonchurner,22,2200,420,0.307793505625546,102.754689994129,0,0,74,20,16,1,1.04761904761905,1.29411764705882,11,104.761904761905,129.411764705882,1100,20,24.7058823529412,210
Pacific,45.192361,-119.326172,31-35,954624,Churner,5,555,105,0,88.5183596775268,0,0,4,5,4,1,0.833333333333333,1,2.5,92.5,111,277.5,17.5,21,52.5
Pacific,45.192361,-119.326172,31-35,1352955,Churner,5,394,105,0,44.4657171312912,0,0,17,5,5,1,0.833333333333333,0.833333333333333,2.5,65.6666666666667,65.6666666666667,197,17.5,17.5,52.5
Pacific,45.192361,-119.326172,31-35,1485660,Churner,12,1422,252,0,125.712153169634,0,0,43,12,12,1,0.923076923076923,0.923076923076923,6,109.384615384615,109.384615384615,711,19.3846153846154,19.3846153846154,126
Pacific,45.192361,-119.326172,31-35,1291155,Churner,8,624,42,0,48.0832611206852,0,0,60,2,2,1,2.66666666666667,2.66666666666667,4,208,208,312,14,14,21
Pacific,45.192361,-119.326172,31-35,1858501,Nonchurner,53,4595,735,1.01086534192038,142.94066466001,0,1.54285714285714,20,35,27,1,1.47222222222222,1.89285714285714,26.5,127.638888888889,164.107142857143,2297.5,20.4166666666667,26.25,367.5
Pacific,45.192361,-119.326172,31-35,1917451,Churner,11,560,210,0.316227766016838,38.6551707048646,0,0,24,10,8,1,1,1.22222222222222,5.5,50.9090909090909,62.2222222222222,280,19.0909090909091,23.3333333333333,105
Pacific,45.192361,-119.326172,31-35,2168326,Churner,12,769,210,0.632455532033676,73.600196255777,0,3.5,4,10,10,1,1.09090909090909,1.09090909090909,6,69.9090909090909,69.9090909090909,384.5,19.0909090909091,19.0909090909091,105
Pacific,45.192361,-119.326172,31-35,198813,Churner,33,3059,525,0.556776436283002,84.7702188271329,0,0,95,25,17,1,1.26923076923077,1.83333333333333,16.5,117.653846153846,169.944444444444,1529.5,20.1923076923077,29.1666666666667,262.5
Pacific,45.192361,-119.326172,31-35,1459012,Churner,9,484,63,1.73205080756888,27.1538824725551,0,0,39,3,2,1,2.25,3,4.5,121,161.333333333333,242,15.75,21,31.5
Pacific,45.192361,-119.326172,31-35,1690743,Nonchurner,7,676,147,0,60.2712124286466,0,0,69,7,4,1,0.875,1.4,3.5,84.5,135.2,338,18.375,29.4,73.5
Pacific,45.192361,-119.326172,31-35,2159447,Churner,6,657,126,0,158.616203459798,0,0,80,6,6,1,0.857142857142857,0.857142857142857,3,93.8571428571429,93.8571428571429,328.5,18,18,63
Pacific,45.192361,-119.326172,31-35,1624434,Churner,47,4599,714,1.04489250954643,156.263628995619,0,2.58823529411765,9,34,20,1,1.34285714285714,2.23809523809524,23.5,131.4,219,2299.5,20.4,34,357
Pacific,45.192361,-119.326172,31-35,2058306,Churner,24,2222,378,0.594088525786005,102.65316947184,0,0,4,18,16,1,1.26315789473684,1.41176470588235,12,116.947368421053,130.705882352941,1111,19.8947368421053,22.2352941176471,189
Pacific,45.192361,-119.326172,31-35,1330533,Nonchurner,34,2183,399,3.20726514457448,146.911120045361,0,0,62,19,17,1,1.7,1.88888888888889,17,109.15,121.277777777778,1091.5,19.95,22.1666666666667,199.5
Pacific,45.192361,-119.326172,31-35,386449,Nonchurner,35,3696,609,0.491303684440517,185.818572462284,0,1.68965517241379,17,29,19,1,1.16666666666667,1.75,17.5,123.2,184.8,1848,20.3,30.45,304.5
Pacific,45.192361,-119.326172,31-35,1687262,Nonchurner,20,1532,210,1.49071198499986,126.7673284232,0,0,16,10,7,1,1.81818181818182,2.5,10,139.272727272727,191.5,766,19.0909090909091,26.25,105
Pacific,45.192361,-119.326172,31-35,112826,Churner,44,7301,819,0.409073869245305,203.964158291956,0,2.02564102564103,4,39,27,1,1.1,1.57142857142857,22,182.525,260.75,3650.5,20.475,29.25,409.5
Pacific,45.192361,-119.326172,31-35,2168418,Churner,5,276,63,0.577350269189626,88.068155425216,0,0,39,3,3,1,1.25,1.25,2.5,69,69,138,15.75,15.75,31.5
Pacific,45.192361,-119.326172,31-35,1833546,Churner,3,167,63,0,47.0035459655262,0,10,56,3,3,1,0.75,0.75,1.5,41.75,41.75,83.5,15.75,15.75,31.5
Pacific,45.192361,-119.326172,31-35,2049243,Churner,14,1258,210,0.516397779494322,104.302764424854,0,0,17,10,8,1,1.27272727272727,1.55555555555556,7,114.363636363636,139.777777777778,629,19.0909090909091,23.3333333333333,105
Pacific,45.192361,-119.326172,31-35,2154886,Churner,10,744,147,1.13389341902768,90.3801495272686,0,0,52,7,6,1,1.25,1.42857142857143,5,93,106.285714285714,372,18.375,21,73.5
Pacific,45.192361,-119.326172,31-35,644440,Churner,44,4072,462,2.41029537806548,190.903842434554,0,2.77272727272727,20,22,16,1,1.91304347826087,2.58823529411765,22,177.04347826087,239.529411764706,2036,20.0869565217391,27.1764705882353,231
Pacific,45.192361,-119.326172,31-35,1679403,Churner,16,2047,336,0,134.131014931919,0,0,58,16,15,1,0.941176470588235,1,8,120.411764705882,127.9375,1023.5,19.7647058823529,21,168
Pacific,45.192361,-119.326172,31-35,1327380,Nonchurner,22,873,399,0.374634324632678,33.5418042385759,0,4,12,19,14,1,1.1,1.46666666666667,11,43.65,58.2,436.5,19.95,26.6,199.5
Pacific,45.192361,-119.326172,31-35,1702842,Churner,30,2225,588,0.262265264156481,67.7208224134925,0,0,15,28,22,1,1.03448275862069,1.30434782608696,15,76.7241379310345,96.7391304347826,1112.5,20.2758620689655,25.5652173913043,294
Pacific,45.192361,-119.326172,31-35,1514858,Nonchurner,35,3512,357,2.7493314695416,379.119878604303,0,2.82352941176471,20,17,16,1,1.94444444444444,2.05882352941176,17.5,195.111111111111,206.588235294118,1756,19.8333333333333,21,178.5
Pacific,45.192361,-119.326172,31-35,412001,Churner,46,3940,840,0.42667467941194,64.2886120633012,0,1.225,3,40,27,1,1.1219512195122,1.64285714285714,23,96.0975609756098,140.714285714286,1970,20.4878048780488,30,420
Pacific,45.192361,-119.326172,31-35,1860580,Churner,6,210,21,0,0,0,0,80,1,1,1,3,3,3,105,105,105,10.5,10.5,10.5
Pacific,45.192361,-119.326172,31-35,1788150,Churner,26,4880,315,1.43759057685652,602.231999276343,0,0,57,15,10,1,1.625,2.36363636363636,13,305,443.636363636364,2440,19.6875,28.6363636363636,157.5
Pacific,45.192361,-119.326172,31-35,1305241,Churner,9,3922,105,1.30384048104053,813.843535330963,0,0,70,5,5,1,1.5,1.5,4.5,653.666666666667,653.666666666667,1961,17.5,17.5,52.5
Pacific,45.192361,-119.326172,31-35,1514841,Churner,3,270,21,0,0,0,0,96,1,1,1,1.5,1.5,1.5,135,135,135,10.5,10.5,10.5
Pacific,45.192361,-119.326172,31-35,1276664,Nonchurner,60,4530,756,1.24211800681624,150.874498460523,0,2.19444444444444,2,36,27,1,1.62162162162162,2.14285714285714,30,122.432432432432,161.785714285714,2265,20.4324324324324,27,378
Pacific,45.192361,-119.326172,31-35,1700626,Churner,7,2011,105,0.547722557505166,413.112212358821,0,0,1,5,5,1,1.16666666666667,1.16666666666667,3.5,335.166666666667,335.166666666667,1005.5,17.5,17.5,52.5
Pacific,45.192361,-119.326172,31-35,2171586,Nonchurner,7,1314,105,0.894427190999916,91.368484719842,0,0,24,5,4,1,1.16666666666667,1.4,3.5,219,262.8,657,17.5,21,52.5
Pacific,45.192361,-119.326172,31-35,1638516,Churner,4,296,84,0,24.3721152139079,0,11.5,7,4,4,1,0.8,0.8,2,59.2,59.2,148,16.8,16.8,42
Pacific,45.192361,-119.326172,31-35,2053936,Churner,27,1455,441,0.560611910581388,38.1171127672898,0,2.28571428571429,4,21,15,1,1.22727272727273,1.6875,13.5,66.1363636363636,90.9375,727.5,20.0454545454545,27.5625,220.5
Pacific,45.192361,-119.326172,31-35,2074870,Churner,13,1340,231,0.404519917477945,105.611380240785,0,0,4,11,8,1,1.08333333333333,1.44444444444444,6.5,111.666666666667,148.888888888889,670,19.25,25.6666666666667,115.5
Pacific,45.192361,-119.326172,31-35,1735604,Churner,21,1804,273,1.66024403519792,130.805296685668,0,0,20,13,10,1,1.5,1.90909090909091,10.5,128.857142857143,164,902,19.5,24.8181818181818,136.5
Pacific,45.192361,-119.326172,31-35,1630244,Nonchurner,34,8945,399,1.58391032884585,463.089453675273,0,2.57894736842105,38,19,14,1,1.7,2.26666666666667,17,447.25,596.333333333333,4472.5,19.95,26.6,199.5
Pacific,45.192361,-119.326172,31-35,778947,Churner,26,1828,378,0.921777197924954,82.2830282137583,0,0.611111111111111,54,18,17,1,1.36842105263158,1.44444444444444,13,96.2105263157895,101.555555555556,914,19.8947368421053,21,189
Pacific,45.192361,-119.326172,31-35,116121,Churner,2,758,42,0,469.518902707868,0,0,7,2,2,1,0.666666666666667,0.666666666666667,1,252.666666666667,252.666666666667,379,14,14,21
Pacific,45.192361,-119.326172,36-40,1270150,Churner,18,1306,357,0.242535625036333,53.1615877468375,0,0,17,17,15,1,1,1.125,9,72.5555555555556,81.625,653,19.8333333333333,22.3125,178.5
Pacific,45.192361,-119.326172,36-40,173452,Nonchurner,25,1604,420,0.550119604220181,67.6364896845047,0,2.85,15,20,16,1,1.19047619047619,1.47058823529412,12.5,76.3809523809524,94.3529411764706,802,20,24.7058823529412,210
Pacific,45.192361,-119.326172,36-40,706599,Churner,4,348,84,0,9.93310961716756,0,0,25,4,4,1,0.8,0.8,2,69.6,69.6,174,16.8,16.8,42
Pacific,45.192361,-119.326172,36-40,1867244,Churner,6,974,84,0.577350269189626,183.922991131252,0,0,38,4,4,1,1.2,1.2,3,194.8,194.8,487,16.8,16.8,42
Pacific,45.192361,-119.326172,36-40,1639322,Churner,47,6507,924,0.254971705929353,333.659011003268,0,0.477272727272727,60,44,34,1,1.04444444444444,1.34285714285714,23.5,144.6,185.914285714286,3253.5,20.5333333333333,26.4,462
Pacific,45.192361,-119.326172,36-40,2165127,Churner,8,205,126,0.516397779494322,19.5490835249806,0,0,54,6,6,1,1.14285714285714,1.14285714285714,4,29.2857142857143,29.2857142857143,102.5,18,18,63
Pacific,45.192361,-119.326172,36-40,1722666,Churner,59,3651,1029,0.455503011183547,72.8983660222058,0,1.20408163265306,2,49,34,1,1.18,1.68571428571429,29.5,73.02,104.314285714286,1825.5,20.58,29.4,514.5
Pacific,45.192361,-119.326172,36-40,1451757,Churner,11,700,147,1.13389341902768,70.1474637222663,0,0,38,7,7,1,1.375,1.375,5.5,87.5,87.5,350,18.375,18.375,73.5
